objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,credit
LOC-2002725252,U.S.-Grant.jpg,,,Ulysses S. Grant,"E. B. Treat, NY"", and ""Artotype E. Bierstadt""",1885,,,,,,Library of Congress <www.loc.gov/item/2002725252/>,LOC 2002725252,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of Library of Congress 
LOC-2004672776,HB-Stowe.tif,,,Harriet Beecher Stowe,,c. 1880,,,,,,Library of Congress <www.loc.gov/item/2004672776/>,LOC 2004672776,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of Library of Congress 
Lockwood-deForest--1,Lockwood-deForest-#1.tif,,,Portrait of Lockwood de Forest,,,,,,,,The Mark Twain House & Museum,Lockwood deForest #1,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Mahogany-Room-restoration-2016,Mahogany-Room-restoration-2016.JPG,,,Mahogany Room restoration,,2016,,,,,,The Mark Twain House & Museum,Mahogany Room restoration 2016,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Mahogany-Suite--1-Groo-2023,Mahogany-Suite-#1-Groo-2023.jpg,,,Mahogany Suite,John Groo,2023,,,,,,The Mark Twain House & Museum,Mahogany Suite #1 Groo 2023,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
Map-of-Nook-Farm-in-1874,Nook-Farm-Map-1874.jpg,,,Nook Farm Map,,,,,,,,The Mark Twain House & Museum,Map of Nook Farm in 1874,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Marie-Bissell-&-children,Marie-Bissell-&-children.jpg,,,Marie Bissell and her chidlren,,,,,,,,The Mark Twain House & Museum,Marie Bissell & children,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
"Memorial-Actitivities-Trustees,-Members-&-Staff--3-Salsbury","Memorial-Activities-Trustees,-Members,-&-Staff-#3-Salsbury.jpg",,,Edith Colgate Salsbury,,1956,,,,,,The Mark Twain House & Museum,"Memorial Actitivities Trustees, Members & Staff #3 Salsbury",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
MT-Exteriors-1882-1903--7,MT-House-Exteriors-1882-1903-#7.tif,,,Greenhouse,,1908,,,,,,The Mark Twain House & Museum,MT Exteriors 1882-1903 #7,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Gift of Prudhomme"
MT-House-Exteriors-1874-81--5,MT-House-Exteriors-1874-81-#5.tif,,,Mark Twain House Exterior,,1874-1881,,,,,,The Mark Twain House & Museum,MT House Exteriors 1874-81 #5,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
MT-House-Exteriors-1882-1903--2,MT-House-Exteriors-1882-1903-#2.tif,,,Mark Twain House grounds,Frank G. Warner,1882-1903,,,,,,The Mark Twain House & Museum,MT House Exteriors 1882-1903 #2,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Gift of Olivia Loomis Lada-Mocarski"
MT-House-Exteriors-1903-1950,MT-House-Exteriors-1903-1950-#14.jpg,,,Park River and The Mark Twain House ,,c. 1910,,,,,,The Mark Twain House & Museum,MT House Exteriors 1903-1950,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
MT-House-Exteriors-1903-50--16,MT-Exteriors-1903-50-#16.jpg,,,Kingswood School ,,c. 1919,,,,,,The Mark Twain House & Museum,MT House Exteriors 1903-50 #16,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
MT-House-Grounds--4,Park-River.jpg,,,Park River View from MTH Library,Albert Bigelow Paine,1911,,,,,,The Mark Twain House & Museum,MT House-Grounds #4,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
MT-Library-Branch-,MT-Library-Branch.tif,,,,,,,,,,,The Mark Twain House & Museum,MT Library Branch ,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
MTH-Exterior--1-Groo-2023,MTH-Exterior-#1-Groo-2023.jpg,,,Mark Twain House,John Groo,2023,,,,,,The Mark Twain House & Museum,MTH Exterior #1 Groo 2023,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
MTHM--175,1st-ed-Tom-Sawyer-cover.jpg,,,The Adventures of Tom Sawyer,Mark Twain,1876,,,,,,The Mark Twain House & Museum,MTHM #175,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
MTHM-12,Illus---CT-Yankee-#12.tif,,,A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,,,,,,The Mark Twain House & Museum,MTHM 12,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
MTHM-15-,Illus---Innocents-#15.jpg,,,The Innocents Abroad ,Mark Twain,1869,,,,,,The Mark Twain House & Museum,MTHM 15 ,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
MTHM-158-65,Joan-of-Arc-MTHM-#158.65.jpg,,,Joan of Arc ,Mark Twain,1896,,,,,,The Mark Twain House & Museum,MTHM 158.65,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
MTHM-163,Puddn'head-Wilson-MTHM-#163.jpg,,,Puddn'head Wilson,Mark Twain,1894,,,,,,The Mark Twain House & Museum,MTHM 163,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
MTHM-2251-75,Roughing-It-#2251.75.jpg,,,Roughing It,Mark Twain,1872,,,,,,The Mark Twain House & Museum,MTHM 2251.75,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Gift of Ruth Newcomb"
MTHM-535,#535-front.jpg-,,,Program for a Fundraiser of the Art Society,,,,,,,,The Mark Twain House & Museum,MTHM 535,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Cyril Clemens collection"
MTHM-535,#535-back.jpg,,,Program for a Fundraiser of the Art Society,,,,,,,,The Mark Twain House & Museum,MTHM 535,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Cyril Clemens collection"
MTHM-5487-2017,Life-on-the-Mississippi-MTHM-#5487.2017.jpg,,,Life on the Mississippi,Mark Twain,1883,,,,,,The Mark Twain House & Museum,MTHM 5487.2017,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
MTHM-7,Huck-Finn-#7.tif,,,Adventures of Huckleberry Finn ,Mark Twain,1884,,,,,,The Mark Twain House & Museum,MTHM 7,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
MTHM-702-72,The-Gilded-Age-MTHM-#702.72.jpg,,,The Gilded Age ,Mark Twain,1873,,,,,,The Mark Twain House & Museum,MTHM 702.72,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
MTHM-7264,Eve's-Diary-MTHM-#7264.jpg,,,Eve's Diary,Mark Twain,1906,,,,,,The Mark Twain House & Museum,MTHM 7264,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
MTHM-786-72,Following-the-Equator-MTHM-#786.72.jpg,,,Following the Equator,Mark Twain,1897,,,,,,The Mark Twain House & Museum,MTHM 786.72,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Gift of Jonathan Goodwin"
MTHM-81-2-7,81.2.7.jpg,,,Saturday Morning Club of Hartford Pin,Samuel L. Clemens; Tiffany & Co. ,1880,,,,,,The Mark Twain House & Museum,MTHM 81.2.7,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
MTHM-88-64,Extracts-From-Adam's-Diary-MTHM-#88.64.jpg,,,Extracts from Adam's Diary,Mark Twain,1904,,,,,,The Mark Twain House & Museum,MTHM 88.64,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
NLW_4671166,Portrait_of_Discoverer_of_Livingstone_(4671166).jpg,,,The Discoverer of Livingstone,London Stereoscopic Company ,1870s,,,,,,Llyfrgell Genedlaethol Cymru – The National Library of Wales,NLW_4671166,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of Llyfrgell Genedlaethol Cymru – The National Library of Wales
No---Art-26-front,No#-Art26_front.jpg,,,Mark Twain Library and Memorial Commission Charter,,29-Apr-29,,,,,,The Mark Twain House & Museum,No # Art 26 front,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
"No--Collected-Tales,-Sketches,-Speeches,-&-Essays-1891-1910-","No-#-Collected-Tales,-Sketches,-Speeches,-&-Essays-1891-1910.jpg",,,"Collected Tales, Sketches, Speeches, & Essays 1891-1910",Louis J. Budd,1992,,,,,,The Mark Twain House & Museum,"No# Collected Tales, Sketches, Speeches, & Essays 1891-1910 ",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Nursery--1-Groo-2023,Nursery-#1-Groo-2023.jpg,,,Nursery,John Groo,2023,,,,,,The Mark Twain House & Museum,Nursery #1 Groo 2023,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
Nursery--2-Groo-2023,Nursery-#2-Groo-2023.jpg,,,Nursery Wallpaper by Walter Crane,John Groo,2023,,,,,,The Mark Twain House & Museum,Nursery #2 Groo 2023,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
Nursery-wallpaper-detail--1-Groo-2011,Nursery-wallpaper-detail-#1-Groo-2011.jpg,,,Schoolroom detail by Frederic Schweppe,John Groo,2011,,,,,,The Mark Twain House & Museum,Nursery wallpaper detail #1 Groo 2011,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
OLC-Alone--1,OLC-Alone-#1.jpg,,,Portrait of Olivia Louise Clemens (nee Langdon),,1872,,,,,,The Mark Twain House & Museum,OLC Alone #1,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Gift of Olivia Loomis Lada- Mocarski"
Rosa2-(2),Rosa2-(2).jpg,,,Rosina Hay ,H.L. Bundy,,,,,,,The Mark Twain House & Museum,Rosa2 (2),Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Gift of Olivia Lada-Mocarski"
Schoolroom--1-Groo-2023,Schoolroom-#1-Groo-2023.jpg,,,Schoolroom,John Groo,2023,,,,,,The Mark Twain House & Museum,Schoolroom #1 Groo 2023,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
Servants-Entry-Hall-,Servants-Entry-Hall.jpg,,,Servants Hall ,,,,,,,,The Mark Twain House & Museum,Servants Entry Hall ,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
SLC-&-Family-Groups--1,SLC-\u0026-Family-Groups-#1.tif,,,The Clemens Family on the Porch of their Hartford home,Unidentified photographer,1885,,,,,,The Mark Twain House & Museum,SLC & Family Groups #1,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. "," The Mark Twain House & Museum Collections,  Gift of Harpers"
SLC-&-family-groups--10b,SLC-&-family-groups-#10b.jpg,,,"Dr. A. Reeves Jackson, Susy Clemens, Samuel Clemens, Olivia Clemens, Mrs. Jackson ",,1875,,,,,,The Mark Twain House & Museum,SLC & family groups #10b,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
SLC-&-Family-Groups--18,SLC-&-family-groups-#18.jpg,,,Clemens and Langdon families at Quarry Farm ,,1874,,,,,,The Mark Twain House & Museum,SLC & Family Groups #18,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
SLC-1881-85--7,SLC-1881-85-#7-(3).tif,,,Samuel L. Clemens at writing desk ,,,,,,,,The Mark Twain House & Museum,SLC 1881-85 #7,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Cyril Clemens collection"
SLC-1903--21,SLC-1903-#21.TIF,,,Mark Twain in the Study,,1903,,,,,,The Mark Twain House & Museum,SLC 1903 #21,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
SLC-Alone-1871-75--8,SLC-Alone-1871-75-#8.TIF,,,Portrait of Samuel Langhorne Clemens,Rogers & Nelson,1873,,,,,,The Mark Twain House & Museum,SLC Alone 1871-75 #8,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
SLC-with-misc--friends-1835-1839--8,SLC-with-Misc.-Friends-1835-89-#8.jpg,,,George Washington Cable,,1884,,,,,,The Mark Twain House & Museum,SLC with misc. friends 1835-1839 #8,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum
Stenciling-hallway-(Matt)-,Stenciling-hallway-(Matt).jpg,,,Stenciling ,,2000s,,,,,,The Mark Twain House & Museum,Stenciling hallway (Matt) ,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Susy's-Bedroom--1-Groo-2023,Susy's-Bedroom-#1-Groo-2023.jpg,,,Susy's Bedroom,John Groo,2023,,,,,,The Mark Twain House & Museum,Susy's Bedroom #1 Groo 2023,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
The-Mysterious-Stranger-Wat---810C625my,The-Mysterious-Stranger-Wat.-#810C625my.jpg,,,The Mysterious Stranger,Mark Twain,1916,,,,,,The Mark Twain House & Museum,The Mysterious Stranger Wat. #810C625my,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
The-Prince-and-the-Pauper--11-1st-ed--cover,Prince-&-Pauper-#11-1st-ed-cover.tif,,, The Prince & The Pauper,Mark Twain,1881,,,,,,The Mark Twain House & Museum,The Prince and the Pauper #11 1st ed. cover,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
"Trustees,-etc---10",K.S.-Day.jpg,,,Katharine Seymour Day ,,1956 .,,,,,,The Mark Twain House & Museum,"Trustees, etc. #10",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
"Trustees,-etc---31","Trustees,-etc.-#31.jpg",,,Miss Elizabeth McSherry in schoolroom formerly her living room,Hartford Courant ,1974,,,,,,The Mark Twain House & Museum,"Trustees, etc. #31",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Twain-Carpenter-Range-reconst--017,Twain-Carpenter-Range-reconst.-017.jpg,,,Restoration work in Kitchen/Servant's Wing,,,,,,,,The Mark Twain House & Museum,Twain Carpenter Range reconst. 017,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
"Twichell,-J-H---2-","Twichell,-J.H.-#2.jpg",,,Joseph Twichell,,c. 1880,,,,,,The Mark Twain House & Museum,"Twichell, J.H. #2 ",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum. Gift of NBC, 1960. "
Visitor-Center--1-Groo-2011,Visitor-Center-#1-Groo-2011.jpg,,,Visitor Center ,John Groo,2011,,,,,,The Mark Twain House & Museum,Visitor Center #1 Groo 2011,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
Visitor-Center--2-Groo-2011,Visitor-Center-#2-Groo-2011.jpg,,,Visitor Center for The Mark Twain House & Museum,John Groo,2011,,,,,,The Mark Twain House & Museum,Visitor Center #2 Groo 2011,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
Visitors--37b,Visitors-#37b.jpg,,,Visitors to the Mark Twain House in the 1970s,,1970s,,,,,,The Mark Twain House & Museum,Visitors #37b,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Walter-Schwinn-&-Hal-in-Front-Hall--1967,Walter-Schwinn-&-Hal-in-Front-Hall.1967.tif,,,Walter K. Schwinn and Hal Holbrook,,1967,,,,,,The Mark Twain House & Museum,Walter Schwinn & Hal in Front Hall. 1967,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum Institutional Archives
"Warner,-C-D---1","Warner,-C.D.-#1.jpg",,,Charles Dudley Warner,,1880,,,,,,The Mark Twain House & Museum,"Warner, C.D. #1",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections